Rank,Movie,Release Date,Distributor,Genre,2023 Gross,Tickets Sold
476,In Viaggio,"Mar 31, 2023",Magnolia Pictures,Documentary,"$23,142","2,146"
477,River,"Apr 21, 2023",Greenwich,Documentary,"$22,789","2,114"
478,The Road Dance,"Oct 13, 2023",Music Box Films,Drama,"$22,362","2,074"
479,Piaffe,"Aug 25, 2023",Oscilloscope Pict…,Drama,"$21,861","2,027"
480,Aporia,"Aug 11, 2023",Well Go USA,Drama,"$21,587","2,002"
481,Unwelcome,"Mar 10, 2023",Well Go USA,Horror,"$21,284","1,974"
482,Trinket Box,"Mar 31, 2023",Self Distributed,Horror,"$21,169","1,963"
483,La Civil,"Mar 3, 2023",Zeitgeist,Thriller/Suspense,"$21,108","1,958"
484,Brotherhood of the Wolf,"Jan 11, 2002",Universal,Action,"$19,984","1,853"
485,The Worst Ones,"Mar 24, 2023",Kino Lorber,Drama,"$19,833","1,839"
486,Only in Theaters,"Nov 18, 2022",The Film Collabor…,Documentary,"$19,832","1,839"
487,The Crime is Mine,"Dec 25, 2023",Music Box Films,Drama,"$19,359","1,795"
488,Filmmakers for the Prosecution,"Jan 24, 2023",Kino Lorber,Documentary,"$19,246","1,785"
489,Godard Cinema,"Dec 15, 2023",Kino Lorber,Documentary,"$18,649","1,729"
490,The Mean One,"Dec 8, 2022",Atlas Distribution,Horror,"$18,625","1,727"
491,What the Hell Happened to B…,"Mar 24, 2023",Abramorama Films,Documentary,"$18,571","1,722"
492,Two Tickets to Greece,"Jul 14, 2023",Greenwich,Comedy,"$18,513","1,717"
493,Suitable Flesh,"Oct 27, 2023",IFC Films,Horror,"$18,447","1,711"
494,Your Lucky Day,"Nov 10, 2023",Well Go USA,Thriller/Suspense,"$18,232","1,691"
495,Rodeo,"Mar 17, 2023",Music Box Films,Drama,"$18,076","1,676"
496,What Doesn’t Float,"Sep 22, 2023",Circle Collective,Comedy,"$17,980","1,667"
497,Fast Dreams,"Nov 3, 2023",99 Ways Entertain…,Documentary,"$17,895","1,660"
498,Ernest & Celestine: A Trip …,"Sep 1, 2023",GKIDS,Comedy,"$17,446","1,618"
499,Baby Ruby,"Feb 3, 2023",Magnet Releasing,Thriller/Suspense,"$16,991","1,576"
500,Drylongso,"Mar 29, 1999",,Drama,"$16,423","1,523"
501,Once Upon a Time in Uganda,"Jul 7, 2023",Yellow Veil Pictures,Documentary,"$16,185","1,501"
502,You Can Live Forever,"Mar 31, 2023",Mongrel Media,Drama,"$15,882","1,473"
503,Final Cut,"Jul 14, 2023",Kino Lorber,Comedy,"$15,124","1,402"
504,Subject,"Nov 3, 2023",Greenwich,Documentary,"$15,117","1,402"
505,Smoke Sauna Sisterhood,"Nov 24, 2023",Greenwich,Documentary,"$14,412","1,336"
506,Another Body,"Oct 20, 2023",Utopia,Documentary,"$14,403","1,336"
507,Dancing the Twist in Bamako,"Feb 24, 2023",ArtMattan Films,Drama,"$14,229","1,319"
508,Break the Mold: The Zach Ba…,"Jun 23, 2023",Holt Hamilton Dis…,Documentary,"$14,074","1,305"
